Company,Model,Variant,Ex-Showroom_Price,Energy_source(cc/kwh),Drivetrain,Fuel_Tank_Capacity,Fuel_Type,Type,Seating_Capacity,Seats_Material,Cylinders,Cylinder_Configuration,Engine_Location,Height,Length,Width,Body_Type,Power_Value,Power_Unit,Power_RPM,Torque_Value,Torque_Unit,Torque_RPM_Min
Tata,Nano Genx,Xt,292667,624,RWD (Rear Wheel Drive),24.0,Petrol,Manual,4,Fabric,2,In-line,"Rear, Transverse",1652,3164,1750,Hatchback,38,PS,5500.0,51.0,NM,4000.0
Tata,Nano Genx,Xe,236447,624,RWD (Rear Wheel Drive),24.0,Petrol,Manual,4,Fabric,2,In-line,"Rear, Transverse",1652,3164,1750,Hatchback,38,PS,5500.0,51.0,NM,4000.0
Tata,Nano Genx,Emax Xm,296661,624,RWD (Rear Wheel Drive),15.0,CNG,Manual,4,Fabric,2,In-line,"Rear, Transverse",1652,3164,1750,Hatchback,38,PS,5500.0,51.0,NM,4000.0
Tata,Nano Genx,Xta,334768,624,RWD (Rear Wheel Drive),24.0,Petrol,Automatic,4,Fabric,2,In-line,"Rear, Transverse",1652,3164,1750,Hatchback,38,PS,5500.0,51.0,NM,4000.0
Tata,Nano Genx,Xm,272223,624,RWD (Rear Wheel Drive),24.0,Petrol,Manual,4,Fabric,2,In-line,"Rear, Transverse",1652,3164,1750,Hatchback,38,PS,5500.0,51.0,NM,4000.0
Tata,Nano Genx,Xma,314815,624,RWD (Rear Wheel Drive),24.0,Petrol,Automatic,4,Fabric,2,In-line,"Rear, Transverse",1652,3164,1750,Hatchback,38,PS,5500.0,51.0,NM,4000.0
Datsun,Redi-Go,D,279650,799,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1541,3429,1560,Hatchback,54,PS,5678.0,72.0,NM,4386.0
Datsun,Redi-Go,T,351832,799,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1541,3429,1560,Hatchback,54,PS,5678.0,72.0,NM,4386.0
Datsun,Redi-Go,A,333419,799,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1541,3429,1560,Hatchback,54,PS,5678.0,72.0,NM,4386.0
Datsun,Redi-Go,S,362000,799,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1541,3429,1560,Hatchback,54,PS,5678.0,72.0,NM,4386.0
Datsun,Redi-Go,1.0 S,390000,999,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1541,3429,1560,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Datsun,Redi-Go,1.0 S Amt,437065,999,FWD (Front Wheel Drive),28.0,Petrol,Automatic,5,Fabric,3,In-line,"Front, Transverse",1541,3429,1560,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Renault,Kwid,Rxe 0.8,353290,799,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,54,PS,5678.0,72.0,NM,4386.0
Renault,Kwid,Std 0.8,283290,799,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,54,PS,5678.0,72.0,NM,4386.0
Renault,Kwid,Rxl 0.8,383290,799,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,54,PS,5678.0,72.0,NM,4386.0
Renault,Kwid,Rxt 0.8,413290,799,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1580,Hatchback,54,PS,5678.0,72.0,NM,4386.0
Renault,Kwid,Rxt 1.0,433290,999,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Renault,Kwid,Climber 1.0 Mt,454490,999,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Renault,Kwid,Rxt Amt 1.0,463290,999,FWD (Front Wheel Drive),28.0,Petrol,Automatic,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Renault,Kwid,Climber Amt 1.0,484490,999,FWD (Front Wheel Drive),28.0,Petrol,Automatic,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Renault,Kwid,Rxt (O) 1.0,440990,999,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Renault,Kwid,Rxt (O) Amt 1.0,470990,999,FWD (Front Wheel Drive),28.0,Petrol,Automatic,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Renault,Kwid,Climber (O) Mt 1.0,462190,999,FWD (Front Wheel Drive),28.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Renault,Kwid,Climber (O) Amt 1.0,492190,999,FWD (Front Wheel Drive),28.0,Petrol,Automatic,5,Fabric,3,In-line,"Front, Transverse",1490,3731,1579,Hatchback,68,PS,5500.0,91.0,NM,4250.0
Maruti Suzuki,Eeco,5 Str,352136,1196,RWD (Rear Wheel Drive),40.0,Petrol,Manual,5,Fabric,4,In-line,"Front, Longitudinal",1800,3675,1475,MPV,73,PS,6000.0,101.0,NM,3000.0
Maruti Suzuki,Eeco,7 Str,380573,1196,FWD (Front Wheel Drive),40.0,Petrol,Manual,7,Fabric,4,In-line,"Front, Longitudinal",1800,3675,1475,MPV,74,PS,6000.0,101.0,NM,3000.0
Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196,RWD (Rear Wheel Drive),40.0,Petrol,Manual,5,Fabric,4,In-line,"Front, Longitudinal",1800,3675,1475,MPV,73,PS,6000.0,101.0,NM,3000.0
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196,RWD (Rear Wheel Drive),40.0,CNG,Manual,5,Fabric,4,In-line,"Front, Longitudinal",1800,3675,1475,MPV,62,PS,6000.0,85.0,NM,3000.0
Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196,RWD (Rear Wheel Drive),40.0,CNG,Manual,5,Fabric,4,In-line,"Front, Longitudinal",1800,3675,1475,MPV,62,PS,6000.0,85.0,NM,3000.0
Maruti Suzuki,Alto K10,Lxi,377588,998,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1475,3545,1490,Hatchback,68,PS,6000.0,90.0,NM,3500.0
Maruti Suzuki,Alto K10,Vxi,394036,998,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1475,3545,1490,Hatchback,68,PS,6200.0,90.0,NM,3500.0
Maruti Suzuki,Alto K10,Lx,360843,998,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1475,3545,1490,Hatchback,68,PS,6000.0,90.0,NM,3500.0
Maruti Suzuki,Alto K10,Vxi (O),407238,998,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1460,3620,1475,Hatchback,68,PS,6000.0,90.0,NM,3500.0
Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998,FWD (Front Wheel Drive),35.0,CNG,Manual,5,Fabric,3,In-line,"Front, Transverse",1475,3545,1490,Hatchback,59,PS,6000.0,78.0,NM,3500.0
Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998,FWD (Front Wheel Drive),35.0,Petrol,Automatic,5,Fabric,3,In-line,"Front, Transverse",1475,3545,1490,Hatchback,68,PS,6000.0,90.0,NM,3500.0
Datsun,Go,D,374990,1198,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1507,3788,1636,Hatchback,68,PS,5000.0,104.0,NM,4000.0
Datsun,Go,T,468229,1198,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1507,3788,1636,Hatchback,68,PS,5000.0,104.0,NM,4000.0
Datsun,Go,T (O),502492,1198,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1507,3788,1636,Hatchback,68,PS,5000.0,104.0,NM,4000.0
Datsun,Go,A (O),499990,1198,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1507,3788,1636,Hatchback,68,PS,5000.0,104.0,NM,4000.0
Datsun,Go,A,469990,1198,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1507,3788,1636,Hatchback,68,PS,5000.0,104.0,NM,4000.0
Datsun,Go,T Vdc,528464,1198,FWD (Front Wheel Drive),35.0,Petrol,Manual,5,Fabric,3,In-line,"Front, Transverse",1507,3788,1636,Hatchback,68,PS,5000.0,104.0,NM,4000.0
